GEO_ID,County,Mean Income
0500000US16029,"Caribou County, Idaho",71864
0500000US16031,"Cassia County, Idaho",63812
0500000US16033,"Clark County, Idaho",49087
0500000US16035,"Clearwater County, Idaho",55455
0500000US16037,"Custer County, Idaho",53124
0500000US16039,"Elmore County, Idaho",58518
0500000US16041,"Franklin County, Idaho",68697
0500000US16043,"Fremont County, Idaho",64646
0500000US16045,"Gem County, Idaho",52420
0500000US16047,"Gooding County, Idaho",60267
0500000US16049,"Idaho County, Idaho",50551
0500000US16051,"Jefferson County, Idaho",72995
0500000US16053,"Jerome County, Idaho",61238
0500000US16055,"Kootenai County, Idaho",73138
0500000US16057,"Latah County, Idaho",62342
0500000US16059,"Lemhi County, Idaho",49590
0500000US16061,"Lewis County, Idaho",55036
0500000US16063,"Lincoln County, Idaho",57971
0500000US16065,"Madison County, Idaho",52366
0500000US16067,"Minidoka County, Idaho",64670
0500000US16069,"Nez Perce County, Idaho",66552
0500000US16071,"Oneida County, Idaho",57024
0500000US16073,"Owyhee County, Idaho",59481
0500000US16075,"Payette County, Idaho",66136
0500000US16077,"Power County, Idaho",61766
0500000US16079,"Shoshone County, Idaho",53600
0500000US16081,"Teton County, Idaho",82563
0500000US16083,"Twin Falls County, Idaho",64834
0500000US16085,"Valley County, Idaho",78478
0500000US16087,"Washington County, Idaho",51952
0500000US17001,"Adams County, Illinois",69598
0500000US17003,"Alexander County, Illinois",45672
0500000US17005,"Bond County, Illinois",70131
0500000US17007,"Boone County, Illinois",85599
0500000US17009,"Brown County, Illinois",67824
0500000US17011,"Bureau County, Illinois",69674
0500000US17013,"Calhoun County, Illinois",66845
0500000US17015,"Carroll County, Illinois",62739
0500000US17017,"Cass County, Illinois",65081
0500000US17019,"Champaign County, Illinois",72496
0500000US17021,"Christian County, Illinois",62807
0500000US17023,"Clark County, Illinois",70037
0500000US17025,"Clay County, Illinois",60790
0500000US17027,"Clinton County, Illinois",80242
0500000US17029,"Coles County, Illinois",63161
0500000US17031,"Cook County, Illinois",91216
0500000US17033,"Crawford County, Illinois",68640
0500000US17035,"Cumberland County, Illinois",62334
0500000US17037,"DeKalb County, Illinois",75000
0500000US17039,"De Witt County, Illinois",69216
0500000US17041,"Douglas County, Illinois",70199
0500000US17043,"DuPage County, Illinois",117832
0500000US17045,"Edgar County, Illinois",62335
0500000US17047,"Edwards County, Illinois",63054
0500000US17049,"Effingham County, Illinois",74875
0500000US17051,"Fayette County, Illinois",59615
0500000US17053,"Ford County, Illinois",64974
0500000US17055,"Franklin County, Illinois",54762
0500000US17057,"Fulton County, Illinois",62429
0500000US17059,"Gallatin County, Illinois",57026
0500000US17061,"Greene County, Illinois",58630
0500000US17063,"Grundy County, Illinois",87844
0500000US17065,"Hamilton County, Illinois",67205
0500000US17067,"Hancock County, Illinois",63252
0500000US17069,"Hardin County, Illinois",63443
0500000US17071,"Henderson County, Illinois",65045
